timestamp,temp_c,temp_f,pressure_hpa,humidity
2026-02-05T21:00:35,20.37,68.67,982.04,40.44
2026-02-05T21:01:36,20.37,68.67,982.05,39.97
2026-02-05T21:02:36,20.37,68.67,982.02,40.34
2026-02-05T21:03:36,20.37,68.67,982.02,40.46
2026-02-05T21:04:36,20.39,68.7,982.03,40.36
2026-02-05T21:05:36,20.38,68.68,982.05,40.06
2026-02-05T21:06:36,20.39,68.7,982.07,40.16
2026-02-05T21:07:36,20.4,68.72,982.06,40.42
2026-02-05T21:08:37,20.4,68.72,982.07,40.08
2026-02-05T21:09:37,20.4,68.72,982.05,40.46
2026-02-05T21:10:37,20.41,68.74,982.1,40.15
2026-02-05T21:11:37,20.41,68.74,982.11,39.8
2026-02-05T21:12:37,20.41,68.74,982.09,40.17
2026-02-05T21:13:37,20.42,68.76,982.1,39.67
2026-02-05T21:14:37,20.42,68.76,982.1,39.62
2026-02-05T21:15:38,20.43,68.77,982.13,40.2
2026-02-05T21:16:38,20.42,68.76,982.12,39.99
2026-02-05T21:17:38,20.43,68.77,982.1,39.77
2026-02-05T21:18:38,20.42,68.76,982.12,39.79
2026-02-05T21:19:38,20.43,68.77,982.1,40.05
2026-02-05T21:20:38,20.42,68.76,982.1,39.17
2026-02-05T21:21:38,20.43,68.77,982.11,39.36
2026-02-05T21:22:39,20.43,68.77,982.11,39.74
2026-02-05T21:23:39,20.43,68.77,982.13,39.22
2026-02-05T21:24:39,20.43,68.77,982.09,39.85
2026-02-05T21:25:39,20.43,68.77,982.07,39.72
2026-02-05T21:26:39,20.43,68.77,982.09,39.81
2026-02-05T21:27:39,20.43,68.77,982.1,39.33
2026-02-05T21:28:39,20.43,68.77,982.13,39.2
2026-02-05T21:29:39,20.43,68.77,982.13,39.6
2026-02-05T21:30:40,20.44,68.79,982.15,39.21
2026-02-05T21:31:41,20.44,68.79,982.13,39.31
2026-02-05T21:32:41,20.43,68.77,982.17,39.78
2026-02-05T21:33:41,20.43,68.77,982.13,39.32
2026-02-05T21:34:41,20.44,68.79,982.15,39.8
2026-02-05T21:35:41,20.43,68.77,982.18,39.29
2026-02-05T21:36:41,20.44,68.79,982.16,39.66
2026-02-05T21:37:41,20.44,68.79,982.18,39.63
2026-02-05T21:38:42,20.44,68.79,982.19,39.59
2026-02-05T21:39:42,20.44,68.79,982.16,39.71
2026-02-05T21:40:42,20.44,68.79,982.17,39.42
2026-02-05T21:41:42,20.43,68.77,982.17,39.3
2026-02-05T21:42:42,20.43,68.77,982.16,39.25
2026-02-05T21:43:42,20.43,68.77,982.17,39.65
2026-02-05T21:44:42,20.44,68.79,982.17,39.37
2026-02-05T21:45:43,20.44,68.79,982.12,39.2
2026-02-05T21:46:43,20.43,68.77,982.1,39.59
2026-02-05T21:47:43,20.43,68.77,982.14,39.26
2026-02-05T21:48:43,20.44,68.79,982.11,39.64
2026-02-05T21:49:43,20.44,68.79,982.11,39.26
2026-02-05T21:50:43,20.44,68.79,982.14,39.23
2026-02-05T21:51:43,20.43,68.77,982.14,39.62
2026-02-05T21:52:43,20.43,68.77,982.14,39.34
2026-02-05T21:53:44,20.44,68.79,982.13,39.7
2026-02-05T21:54:44,20.43,68.77,982.11,39.56
2026-02-05T21:55:44,20.43,68.77,982.12,39.85
2026-02-05T21:56:44,20.43,68.77,982.11,39.5
2026-02-05T21:57:44,20.43,68.77,982.12,39.64
2026-02-05T21:58:44,20.44,68.79,982.09,39.57
2026-02-05T21:59:44,20.44,68.79,982.05,39.38
2026-02-05T22:00:45,20.44,68.79,982.05,39.12
2026-02-05T22:01:46,20.43,68.77,982.04,39.52
2026-02-05T22:02:46,20.44,68.79,982.07,39.41
2026-02-05T22:03:46,20.42,68.76,982.06,39.31
2026-02-05T22:04:46,20.43,68.77,982.01,39.35
2026-02-05T22:05:46,20.47,68.85,982.04,40.17
2026-02-05T22:06:46,20.46,68.83,982.06,40.02
2026-02-05T22:07:46,20.45,68.81,982.01,40.46
2026-02-05T22:08:46,20.45,68.81,982.06,40.03
2026-02-05T22:09:47,20.44,68.79,982.04,40.51
2026-02-05T22:10:47,20.43,68.77,982.03,40.16
2026-02-05T22:11:47,20.43,68.77,982.05,40.2
2026-02-05T22:12:47,20.44,68.79,982.03,40.03
2026-02-05T22:13:47,20.43,68.77,982.03,39.89
2026-02-05T22:14:47,20.44,68.79,982.02,40.03
2026-02-05T22:15:47,20.43,68.77,982.02,39.47
2026-02-05T22:16:48,20.43,68.77,982.05,39.98
2026-02-05T22:17:48,20.43,68.77,982.03,39.81
2026-02-05T22:18:48,20.43,68.77,981.97,39.91
2026-02-05T22:19:48,20.43,68.77,981.97,39.74
2026-02-05T22:20:48,20.43,68.77,982.01,39.74
2026-02-05T22:21:48,20.43,68.77,982.0,39.35
2026-02-05T22:22:48,20.42,68.76,981.99,39.53
2026-02-05T22:23:49,20.42,68.76,982.01,39.48
2026-02-05T22:24:49,20.42,68.76,982.02,39.51
2026-02-05T22:25:49,20.43,68.77,982.02,39.74
2026-02-05T22:26:49,20.43,68.77,982.04,39.22
2026-02-05T22:27:49,20.43,68.77,982.04,39.57
2026-02-05T22:28:49,20.43,68.77,982.04,39.2
2026-02-05T22:29:49,20.42,68.76,982.04,39.44
2026-02-05T22:30:50,20.42,68.76,982.07,39.3
2026-02-05T22:31:50,20.41,68.74,982.11,39.48
2026-02-05T22:32:51,20.42,68.76,982.06,39.19
